Month,"DEPARTURES
","HOURS
","PASSENGERS CARRIED
","AVAILABLE SEAT KILOMETRE
(TH)", PAX.LOAD FACTOR (IN %),FY
JAN,2993,14751,481878,2739137,82.4,FY14
DEC,3025,14840,458705,2731090,77.2,FY14
MAR,2964,14550,456733,2683236,74.8,FY14
AUG,2844,13731,424706,2481327,79.9,FY14
JUNE,2777,13339,420919,2408821,76.8,FY14
FEB,2632,13245,418587,2427133,78.2,FY14
MAY,2733,13053,415697,2439514,75.5,FY14
OCT,3021,14349,410176,2632766,69,FY14
NOV,2929,14274,403164,2593878,70.5,FY14
APR,2727,12989,394072,2361391,72.2,FY14
SEP,2906,14158,393271,2545847,70.5,FY14
JULY,2813,13430,372662,2451380,70.8,FY14
JAN,3196,15900,538683,2977820,80.9,FY15
DEC,3135,15706,507036,2945660,75.2,FY15
MAR,3105,15568,496476,2921097,74.9,FY15
FEB,2880,14342,463651,2686586,76,FY15
AUG,3047,15070,463325,2836504,74.3,FY15
MAY,2883,14366,459243,2705952,74.2,FY15
JUNE,2866,14200,457274,2689731,76.1,FY15
OCT,3122,15341,437658,2867266,64.7,FY15
APR,2805,13974,436365,2615690,72.4,FY15
JULY,3008,14853,431645,2809591,71.3,FY15
NOV,3037,15016,424686,2815857,65.7,FY15
SEP,2911,14277,420386,2673749,66.1,FY15
JAN,3085,17042,545940,3144611,81.1,FY16
DEC,3015,16844,538014,3110462,79.8,FY16
AUG,3054,15617,500304,2954804,78,FY16
MAR,3049,16997,498298,3130554,74.6,FY16
MAY,2979,15368,481194,2955324,73,FY16
NOV,2937,15851,469620,2958362,71.4,FY16
JULY,3049,15666,466903,2989216,73.8,FY16
FEB,2850,15839,464071,2931310,75,FY16
JUNE,2911,14985,463537,2861133,75.3,FY16
APR,2923,14799,455288,2798786,70.3,FY16
SEP,2960,15215,425477,2825453,68,FY16
OCT,3082,15863,425021,2921583,65.3,FY16
JAN,3121,17796,549131,3298734,82,FY17
DEC,3126,17697,524561,3303483,77.8,FY17
MAR,3057,17416,524282,3317439,75.5,FY17
AUG,2983,16674,495666,3093693,77.7,FY17
JULY,2999,16791,492350,3161525,76.6,FY17
MAY,3063,16935,489623,3144952,71.5,FY17
FEB,2790,15919,475964,3006179,76.5,FY17
NOV,2953,16478,470888,3062193,75.2,FY17
APR,2991,16592,465781,3057620,71.1,FY17
JUNE,2901,16441,460734,3058410,73.4,FY17
SEP,2900,16176,459875,3026515,72.9,FY17
OCT,3045,16788,456108,3091841,71,FY17
DEC,3284,18835,598703,3483152,82.9,FY18
JAN,3346,19161,591846,3483881,83.7,FY18
MAR,3407,19530.3,586725,3546568.9,81.5,FY18
AUG,3121,17883,532324,3314292,79.8,FY18
OCT,3195,18261,532148,3408116,77,FY18
NOV,3097,17869,530058,3334993,78.7,FY18
MAY,3111,17538,523134,3281128,76.4,FY18
JULY,3120,17778,516782,3303130,80.3,FY18
FEB,3048,17438,513954,3171634,80.1,FY18
SEP,3048,17501,501487,3239977,77.9,FY18
APR,2968,16930,498543,3191667,74.7,FY18
JUNE,3018,16961,491376,3152650,79.4,FY18
JAN,3544,22406,624147,3855869.8,84,FY19
DEC,3546,20897,614108,3875133,79.7,FY19
MAR,3550,21798,591249,3753949,76.9,FY19
NOV,3389,19572,581736,3635611.6,79.9,FY19
MAY,3424,19984.6,580708,3667758.3,76.3,FY19
APR,3324,19344.2,568627,3527137.5,77.1,FY19
JUNE,3343,19476.5,559293,3594306.5,78.7,FY19
OCT,3441,19961,555307,3678752,74.2,FY19
FEB,3243,19299,555271,3508021,79.8,FY19
AUG,3243,19290.2,542938,3548755.1,79,FY19
JULY,3314,19537.8,537174,3569365.7,78.9,FY19
SEP,3134,20613.3,493010,3406660,73,FY19
JAN,3862,22678.3,681323,4069203.3,84.7,FY20
DEC,3885,22670.4,680680,4075417.5,81.2,FY20
JUNE,3432,20627.8,628878,3635967.7,87.4,FY20
NOV,3762,21881,624138,3938280.8,78.5,FY20
AUG,3646,20729,622467,3753964.6,83.3,FY20
MAY,3444,21090,598769,3699470.3,82,FY20
JULY,3570,20627.8,598692,3676071.3,83.6,FY20
APR,3377,20466,598024,3571847.6,79.7,FY20
FEB,3546,20704.4,591237,3744302.9,80.6,FY20
OCT,3733,21673.4,587118,3983835.3,73.3,FY20
SEP,3535,20209.8,556384,3688583.9,74.4,FY20
MAR,2029,12063.2,293819,2269889.2,72.5,FY20
APR,0,0,0,0,0,FY21
MAY,0,0,0,0,0,FY21
JUNE,0,0,0,0,0,FY21
JULY,0,0,0,0,0,FY21
AUG,0,0,0,0,0,FY21
SEP,0,0,0,0,0,FY21
OCT,0,0,0,0,0,FY21
NOV,0,0,0,0,0,FY21
DEC,0,0,0,0,0,FY21
JAN,0,0,0,0,0,FY21
FEB,0,0,0,0,0,FY21
MAR,0,0,0,0,0,FY21
APR,0,0,0,0,0,FY22
MAY,0,0,0,0,0,FY22
JUNE,0,0,0,0,0,FY22
JULY,0,0,0,0,0,FY22
AUG,0,0,0,0,0,FY22
SEP,0,0,0,0,0,FY22
OCT,0,0,0,0,0,FY22
NOV,0,0,0,0,0,FY22
DEC,0,0,0,0,0,FY22
JAN,0,0,0,0,0,FY22
FEB,0,0,0,0,0,FY22
MAR,0,0,0,0,0,FY22
JAN,3503,23025.3,649594,4266836.6,86.3,FY23
DEC,3496,22396.8,642438,4131499.3,85.5,FY23
FEB,3220,21208.5,599914,3973160.5,86,FY23
NOV,3414,21624.2,599741,3955215.8,82.2,FY23
OCT,3155,20289.7,568728,3801894.7,83.4,FY23
AUG,3092,19447.3,538562,3630523.5,83.7,FY23
JULY,3095,19438.3,535770,3635263.8,84.1,FY23
SEP,3002,19192.1,534328,3621252.3,84.2,FY23
JUNE,2844,18215,483313,3401541.8,81.9,FY23
MAY,2949,18928.2,469817,3540786.8,77.2,FY23
APR,2806,18074.5,461138,3389553.9,79.9,FY23
MAR,,,,, ,FY23
